"ID","Club"
1,"Arsenal"
2,"Aston Villa"
3,"Birmingham City"
4,"Blackburn"
5,"Bolton Wanderers"
6,"Charlton"
7,"Chelsea"
8,"Crystal Palace"
9,"Everton"
10,"Fulham"
11,"Liverpool"
12,"Manchester City"
13,"Man United"
14,"Middlesbrough"
15,"Newcastle United"
16,"Norwich City"
17,"Portsmouth"
18,"Southampton"
19,"Tottenham"
20,"WBA"
21,"Albacete"
22,"Athletic Bilbao"
23,"Atlético Madrid"
24,"Real Betis"
25,"Depor"
26,"Espanyol"
27,"FC Barcelona"
28,"Sevilla FC"
29,"Valencia CF"
30,"Getafe"
31,"Levante"
32,"Mallorca"
33,"Málaga"
34,"Numancia"
35,"Osasuna"
36,"Racing Santander"
37,"Real Madrid"
38,"Real Zaragoza"
39,"Real Sociedad"
40,"Villarreal"
41,"AC Milan"
42,"AS Roma"
43,"Atalanta"
44,"Bologna"
45,"Brescia"
46,"Cagliari"
47,"Chievo Verona"
48,"Fiorentina"
49,"Inter Milan"
50,"Juventus"
51,"Lazio"
52,"Lecce"
53,"Livorno"
54,"Messina"
55,"Palermo"
56,"Parma"
57,"Reggina"
58,"Sampdoria"
59,"Siena"
60,"Udinese"
61,"AC Ajaccio"
62,"Auxerre"
63,"Bastia"
64,"Bordeaux"
65,"Caen"
66,"Istres"
67,"Lens"
68,"Lille"
69,"Lyon"
70,"Marseille"
71,"Metz"
72,"Monaco"
73,"Nantes"
74,"Nice"
75,"Paris S-G"
76,"Rennes"
77,"Saint-Etienne"
78,"Sochaux"
79,"Strasbourg"
80,"Toulouse FC"
81,"Bielefeld"
82,"Bayer Leverkusen"
83,"Bayern Munich"
84,"Bochum"
85,"Dortmund"
86,"M'gladbach"
87,"Freiburg"
88,"Hamburger SV"
89,"Hannover 96"
90,"Hansa Rostock"
91,"Hertha Berlin"
92,"Kaiserslautern"
93,"Mainz"
94,"FC Nürnberg"
95,"Schalke 04"
96,"Stuttgart"
97,"Werder Bremen"
98,"Wolfsburg"
