ID,Club,Division
1,Arsenal,England
2,Bournemouth,England
3,Brighton & Hove,England
4,Burnley,England
5,Cardiff City,England
6,Chelsea,England
7,Crystal Palace,England
8,Everton,England
9,Fulham,England
10,Huddersfield,England
11,Leicester,England
12,Liverpool,England
13,Manchester City,England
14,Man United,England
15,Newcastle United,England
16,Southampton,England
17,Tottenham,England
18,Watford,England
19,West Ham,England
20,Wolverhampton,England
21,Alavés,Spain
22,Athletic Bilbao,Spain
23,Atlético Madrid,Spain
24,Real Betis,Spain
25,Celta Vigo,Spain
26,Eibar,Spain
27,Espanyol,Spain
28,FC Barcelona,Spain
29,Sevilla FC,Spain
30,Valencia CF,Spain
31,Girona,Spain
32,Getafe,Spain
33,Huesca,Spain
34,Leganés,Spain
35,Levante,Spain
36,Rayo Vallecano,Spain
37,Real Madrid,Spain
38,Real Sociedad,Spain
39,Valladolid,Spain
40,Villarreal,Spain
41,AC Milan,Italy
42,AS Roma,Italy
43,Atalanta,Italy
44,Bologna,Italy
45,Cagliari,Italy
46,Chievo Verona,Italy
47,Empoli,Italy
48,Fiorentina,Italy
49,Frosinone,Italy
50,Genoa,Italy
51,Inter Milan,Italy
52,Juventus,Italy
53,Lazio,Italy
54,Napoli,Italy
55,Parma,Italy
56,Sampdoria,Italy
57,Sassuolo,Italy
58,SPAL,Italy
59,Torino,Italy
60,Udinese,Italy
61,Amiens,France
62,Angers,France
63,Bordeaux,France
64,Caen,France
65,Dijon,France
66,Guingamp,France
67,Lille,France
68,Lyon,France
69,Marseille,France
70,Monaco,France
71,Montpellier,France
72,Nantes,France
73,Nice,France
74,Nîmes,France
75,Paris S-G,France
76,Reims,France
77,Rennes,France
78,Saint-Etienne,France
79,Strasbourg,France
80,Toulouse FC,France
81,Augsburg,Germany
82,Bayer Leverkusen,Germany
83,Bayern Munich,Germany
84,Dortmund,Germany
85,M'gladbach,Germany
86,Düsseldorf,Germany
87,E Francfort,Germany
88,Freiburg,Germany
89,Hannover 96,Germany
90,Hertha Berlin,Germany
91,Hoffenheim,Germany
92,Mainz,Germany
93,FC Nürnberg,Germany
94,RB Leipzig,Germany
95,Schalke 04,Germany
96,Stuttgart,Germany
97,Werder Bremen,Germany
98,Wolfsburg,Germany
