"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"23/05","Espagne","Unai Emery","in","Paris S-G","France","Arsenal","England","manager"
"31/05","Angleterre","Carl Jenkinson","in","Birmingham",NA,"Arsenal","England","Return from loan"
"01/06","Allemagne","Per Mertesacker","in","Werder","Germany","Arsenal","England","Head of Youth Development"
"05/06","Suisse","Lichtsteiner","in","Juventus","Italy","Arsenal","England","Free"
"19/06","Espagne","J. C.  Carcedo","in","Paris S-G","France","Arsenal","England","assistant manager"
"19/06","Allemagne","Bernd Leno","in","Bayer","Germany","Arsenal","England","25 M€"
"19/06","Espagne","Julen Masach","in",NA,NA,"Arsenal","England","fitness coach"
"01/07","Pologne","Krystian Bielik","in","Walsall",NA,"Arsenal","England","Return from loan"
"01/07","Espagne","Javier Garcia","in","Paris S-G","France","Arsenal","England","goalkeeping coach"
"01/07","Argentine","E.  Martinez","in","Getafe","Spain","Arsenal","England","Return from loan"
"01/07","Espagne","Villa","in","Paris S-G","France","Arsenal","England","Technical help"
"02/07","Grèce","Papastathopoulos","in","Dortmund","Germany","Arsenal","England","16 M€"
"10/07","Uruguay","Lucas Torreira","in","Sampdoria","Italy","Arsenal","England","30 M€"
"11/07","France","M.  Guendouzi","in","Lorient","France","Arsenal","England","8 M€"
"31/01","Espagne","Denis Suárez","in","Barça","Spain","Arsenal","England","Loan"
"21/05","Espagne","Santi Cazorla","out","Arsenal","England",NA,NA,"Free"
"19/06","Angleterre","Neil Banfield","out","Arsenal","England",NA,NA,"assistant manager"
"19/06","Angleterre","Tony Colbert","out","Arsenal","England",NA,NA,"fitness coach"
"19/06","Allemagne","Jens Lehmann","out","Arsenal","England",NA,NA,"goalkeeping coach"
"19/06","Angleterre","Colin Lewin","out","Arsenal","England",NA,NA,"physiotherapist"
"19/06","Irlande","Gerry Peyton","out","Arsenal","England",NA,NA,"goalkeeping coach"
"19/06","Bosnie-Herzégovine","Boro Primorac","out","Arsenal","England",NA,NA,"assistant manager"
"01/07","Allemagne","Per Mertesacker","out","Arsenal","England",NA,NA,""
"01/07","France","Arsène Wenger","out","Arsenal","England",NA,NA,"manager"
"01/07","Angleterre","Jack Wilshere","out","Arsenal","England","West Ham",NA,"Free"
"26/07","France","Reine-Adelaïde","out","Arsenal","England","Angers","France",""
"30/07","Angleterre","Matt Macey","out","Arsenal","England","Plymouth",NA,"Loan"
"03/08","Angleterre","Chuba Akpom","out","Arsenal","England","PAOK FC","Greece","1 M€"
"06/08","Angleterre","Calum Chambers","out","Arsenal","England","Fulham",NA,"Loan"
"09/08","Espagne","Lucas Pérez","out","Arsenal","England","West Ham",NA,"4.5 M€"
